gene,sig,sig_cell_types
REN,0,[]
RELT,0,[]
RELN,0,[]
RFC4,0,[]
MAP3K7CL,0,[]
MAP3K7,0,[]
RFC5,0,[]
RFPL3,0,[]
RFTN1,0,[]
MAP3K5,0,[]
RFX1,0,[]
MAP3K20,0,[]
MAP3K15,0,[]
RFX2,0,[]
RFX4,0,[]
RFX5,0,[]
RGN,0,[]
RGPD1,0,[]
MAP3K14,0,[]
RGPD8,0,[]
RELB,0,[]
MAP4K3,0,[]
RELA,0,[]
RBPMS,0,[]
RBM12,0,[]
RBM14,0,[]
RBM15,0,[]
RBM19,0,[]
RBM20,0,[]
RBM23,0,[]
RBM27,0,[]
RBM34,0,[]
RBM38,0,[]
RBMS1,0,[]
RBMS2,0,[]
RBMS3,0,[]
RBMX,0,[]
RBPJ,0,[]
RBX1,0,[]
MAP4K4,0,[]
RC3H1,0,[]
RC3H2,0,[]
RCAN2,0,[]
RCC1,0,[]
RCN2,0,[]
RCOR1,0,[]
RCOR3,0,[]
RDM1,0,[]
RECK,0,[]
RECQL,0,[]
RECQL4,0,[]
REEP4,0,[]
REEP6,0,[]
REL,0,[]
PYGB,0,[]
PYCARD,0,[]
PXN,0,[]
MCM3,0,[]
PSPC1,0,[]
PSME3,0,[]
PSMD4,0,[]
PSMD3,0,[]
PSMD2,0,[]
PSMD10,0,[]
PSMD1,0,[]
PWWP3A,0,[]
PSMC5,0,[]
PSMC2,0,[]
PSMB5,0,[]
PSMA6,0,[]
MCM3AP,0,[]
PSKH1,0,[]
PSRC1,0,[]
PSTPIP2,0,[]
PTAFR,0,[]
MCM2,0,[]
PTBP1,0,[]
PTBP2,0,[]
PTCD1,0,[]
PTCD2,0,[]
PTCD3,0,[]
MCHR2,0,[]
PTCH1,0,[]
PTDSS1,0,[]
MCHR1,0,[]
MCCC1,0,[]
PTEN,0,[]
MCAM,0,[]
PTGDR,0,[]
PSIP1,0,[]
PSG1,0,[]
PSENEN,0,[]
PRPS2,0,[]
PROM2,0,[]
PROP1,0,[]
MCM6,0,[]
PROS1,0,[]
PROSER1,0,[]
PROX1,0,[]
PRPF19,0,[]
MCM5,0,[]
PRPF3,0,[]
PRPF31,0,[]
PHF23,0,[]
PRPH,0,[]
PRPH2,0,[]
PRPS1,0,[]
PRPSAP1,0,[]
PSEN2,0,[]
PRR11,0,[]
PRR13,0,[]
PRR14L,0,[]
PRRC2A,0,[]
PRRG2,0,[]
PRRT2,0,[]
MCM4,0,[]
PRRX1,0,[]
PRSS16,0,[]
PRTN3,0,[]
PRXL2A,0,[]
PSD,0,[]
PSD3,0,[]
PSEN1,0,[]
MC4R,0,[]
MC3R,0,[]
MC1R,0,[]
MAPK8IP3,0,[]
PTPRF,0,[]
PTPRG,0,[]
MASP1,0,[]
PTPRJ,0,[]
MAS1,0,[]
PTPRM,0,[]
MARK2,0,[]
PTPRQ,0,[]
MARCO,0,[]
PTPRU,0,[]
MAPT,0,[]
MAPRE2,0,[]
MAPKAPK2,0,[]
MAPK9,0,[]
MAPK8IP2,0,[]
PTPN5,0,[]
MAPK8IP1,0,[]
MAPK8,0,[]
MAPK7,0,[]
PTPRZ1,0,[]
PTTG1,0,[]
MAPK3,0,[]
PUM3,0,[]
PURB,0,[]
MAPK15,0,[]
MAPK14,0,[]
PUSL1,0,[]
PVR,0,[]
PVT1,0,[]
PWP1,0,[]
PTPN6,0,[]
PTPN22,0,[]
MBNL1,0,[]
PTH2R,0,[]
PTGER2,0,[]
MBL2,0,[]
PTGER4,0,[]
PTGES,0,[]
PTGES3,0,[]
PTGFR,0,[]
PTGFRN,0,[]
PTGIR,0,[]
PTGIS,0,[]
PTGS1,0,[]
PTGS2,0,[]
PTH,0,[]
MAX,0,[]
PTH1R,0,[]
PTHLH,0,[]
MASP2,0,[]
PTK2,0,[]
PTK2B,0,[]
PTK6,0,[]
PTK7,0,[]
PTOV1,0,[]
MAVS,0,[]
PTP4A1,0,[]
MAT1A,0,[]
PTP4A3,0,[]
PTPA,0,[]
PTPDC1,0,[]
PTPN1,0,[]
PTPN11,0,[]
PTPN13,0,[]
PHF6,0,[]
MUC5AC,0,[]
PHF21B,0,[]
NNAT,0,[]
NOL4,0,[]
NODAL,0,[]
NOD2,0,[]
NOD1,0,[]
NOC3L,0,[]
NOA1,0,[]
NMU,0,[]
NFKB1,0,[]
NMNAT1,0,[]
MST1R,0,[]
NMB,0,[]
NLRP9,0,[]
NLRP7,0,[]
NLRP6,0,[]
NOL4L,0,[]
NOLC1,0,[]
NOM1,0,[]
NOMO3,0,[]
NONO,0,[]
NOP2,0,[]
MST1,0,[]
NOS1,0,[]
NOS1AP,0,[]
NOS2,0,[]
NOS3,0,[]
NOSTRIN,0,[]
NOTCH1,0,[]
NOTCH2,0,[]
NOTCH2NLA,0,[]
NOTCH3,0,[]
NOTCH4,0,[]
NLRP5,0,[]
NLRP3,0,[]
NLRP2,0,[]
MTA2,0,[]
NFX1,0,[]
MTERF2,0,[]
NGB,0,[]
NGDN,0,[]
NGF,0,[]
MTCL1,0,[]
MTCH2,0,[]
NGFR,0,[]
NHLH2,0,[]
MTAP,0,[]
NIFK,0,[]
NIN,0,[]
NINJ1,0,[]
NIPSNAP1,0,[]
NIPSNAP3A,0,[]
NLRP11,0,[]
NKAPD1,0,[]
NKAPL,0,[]
NKRF,0,[]
MTA1,0,[]
NKX2-1,0,[]
NKX2-3,0,[]
NKX2-4,0,[]
NKX2-8,0,[]
NKX3-1,0,[]
MT1A,0,[]
