gene,sig,n_up,n_down,sig_cell_types
ALOX5,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
SERPINB4,2,2,0,"['CLEC10A+ DCs', 'Langerhans']"
TEDC1,2,0,2,"['CD4+ T cells', 'Macrophages']"
PAPSS1,2,2,0,"['Macrophages', 'Tregs']"
TNFSF14,2,0,2,"['CD4+ T cells', 'Tregs']"
PRRT2,2,0,2,"['CD4+ T cells', 'Macrophages']"
ITGA3,2,1,1,"['CLEC10A+ DCs', 'Mast cells']"
TES,2,2,0,"['CD8+ T cells', 'Macrophages']"
CAPN3,2,0,2,"['CLEC10A+ DCs', 'Mast cells']"
CD8A,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
PSTPIP2,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
SPHK1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
PDLIM2,1,0,1,['Tregs']
ITPR1,1,1,0,['Macrophages']
SREBF1,1,1,0,['Mast cells']
SULF2,1,1,0,['Macrophages']
THRB,1,0,1,['Macrophages']
CD72,1,1,0,['Macrophages']
JAG1,1,0,1,['Macrophages']
PDGFA,1,0,1,['Langerhans']
CEP44,1,0,1,['CLEC10A+ DCs']
THBD,1,0,1,['CLEC9A+ DCs']
IGF2BP2,1,1,0,['Macrophages']
THAP2,1,0,1,['CD4+ T cells']
TDO2,1,1,0,['Macrophages']
IGF2R,1,1,0,['Macrophages']
IL6ST,1,0,1,['CD8+ T cells']
CCR7,1,1,0,['CD4+ T cells']
CDH11,1,1,0,['Macrophages']
PGF,1,1,0,['Macrophages']
CDH1,1,0,1,['CLEC9A+ DCs']
PDCD1LG2,1,1,0,['Mast cells']
CFHR1,1,0,1,['CD4+ T cells']
CDCA7L,1,0,1,['Macrophages']
CD1B,1,0,1,['CLEC10A+ DCs']
IKBKE,1,1,0,['Macrophages']
TEX30,1,0,1,['CD4+ T cells']
PER2,1,0,1,['Macrophages']
CD1D,1,1,0,['Macrophages']
IKZF3,1,1,0,['Macrophages']
TAP1,1,1,0,['Macrophages']
CCR6,1,1,0,['Macrophages']
TFAP2A,1,1,0,['CLEC10A+ DCs']
TCF7L2,1,0,1,['CD4+ T cells']
KCNA5,1,0,1,['Macrophages']
TCF3,1,0,1,['CLEC10A+ DCs']
SPN,1,1,0,['Macrophages']
CCN4,1,1,0,['Macrophages']
SPON1,1,1,0,['Macrophages']
KAT2A,1,0,1,['Macrophages']
IQGAP2,1,0,1,['Macrophages']
TCEA3,1,0,1,['CLEC10A+ DCs']
CCND1,1,0,1,['Macrophages']
IFI35,1,1,0,['Mast cells']
COL4A4,1,1,0,['Macrophages']
COL4A1,1,1,0,['Macrophages']
PAX1,1,1,0,['Macrophages']
CCR4,1,1,0,['Macrophages']
SQLE,1,1,0,['Macrophages']
TBC1D30,1,1,0,['Macrophages']
P2RY2,1,1,0,['Macrophages']
INKA2,1,0,1,['Macrophages']
COL11A1,1,1,0,['Macrophages']
P2RY6,1,0,1,['Macrophages']
CDHR1,1,0,1,['Langerhans']
P4HB,1,1,0,['Macrophages']
JDP2,1,1,0,['CLEC10A+ DCs']
SRC,1,1,0,['Macrophages']
CD79A,1,1,0,['Macrophages']
TASOR2,1,0,1,['Macrophages']
IL10,1,0,1,['Macrophages']
CD1E,1,0,1,['CLEC10A+ DCs']
CD2,1,1,0,['Macrophages']
IL2RG,1,1,0,['Macrophages']
IL13RA1,1,1,0,['Mast cells']
PEA15,1,1,0,['Macrophages']
CHAD,1,0,1,['Langerhans']
CLEC12A,1,0,1,['CLEC10A+ DCs']
ITGAL,1,1,0,['Macrophages']
TCF7,1,1,0,['Macrophages']
CD38,1,1,0,['Macrophages']
CD93,1,1,0,['Macrophages']
ITGB4,1,1,0,['CLEC10A+ DCs']
PDZD4,1,0,1,['CD4+ T cells']
IL17D,1,0,1,['CD4+ T cells']
CD8B,1,0,1,['CD4+ T cells']
STK32C,1,0,1,['CLEC10A+ DCs']
CD207,1,0,1,['CD4+ T cells']
ITGA6,1,1,0,['CLEC10A+ DCs']
IL17RA,1,1,0,['Macrophages']
SVIL,1,0,1,['Tregs']
IL2RB,1,1,0,['Macrophages']
STMN1,1,0,1,['Macrophages']
ITGAX,1,1,0,['Macrophages']
CD5,1,1,0,['Macrophages']
STMN2,1,1,0,['Mast cells']
TET1,1,0,1,['Macrophages']
CHD7,1,0,1,['Macrophages']
PAM,1,0,1,['CLEC10A+ DCs']
CIDEC,1,0,1,['Macrophages']
IL1R1,1,1,0,['Macrophages']
STX1A,1,0,1,['CD4+ T cells']
PALLD,1,1,0,['CLEC10A+ DCs']
CLEC4C,1,0,1,['CLEC9A+ DCs']
ITM2A,1,0,1,['Macrophages']
CDC42BPG,1,1,0,['CLEC10A+ DCs']
IL24,1,1,0,['Macrophages']
ITK,1,1,0,['Macrophages']
STAT4,1,1,0,['Macrophages']
CD79B,1,1,0,['Macrophages']
IL11RA,1,0,1,['Macrophages']
CD244,1,1,0,['Macrophages']
IL4,1,0,1,['CD4+ T cells']
CD247,1,1,0,['Macrophages']
STC2,1,1,0,['Macrophages']
CD27,1,1,0,['Macrophages']
TGM1,1,1,0,['Langerhans']
PAPPA,1,1,0,['Macrophages']
ITGB7,1,0,1,['Langerhans']
SYNPO2,1,0,1,['Macrophages']
STEAP1,1,1,0,['Macrophages']
CLEC7A,1,1,0,['Macrophages']
TENT5C,1,1,0,['Macrophages']
CLEC6A,1,1,0,['Macrophages']
CD82,1,1,0,['CLEC10A+ DCs']
CLEC5A,1,1,0,['Macrophages']
PDE2A,1,0,1,['Macrophages']
CD300E,1,1,0,['Macrophages']
CDC14A,1,0,1,['Tregs']
CD226,1,0,1,['CD8+ T cells']
HOXB4,1,0,1,['Macrophages']
IDO1,1,1,0,['CLEC10A+ DCs']
RUNX1T1,1,0,1,['CD4+ T cells']
GNAI1,1,0,1,['Mast cells']
SBNO2,1,1,0,['Macrophages']
GNA11,1,0,1,['CD4+ T cells']
ENTPD1,1,1,0,['Tregs']
SASH1,1,1,0,['Macrophages']
PTGDR,1,0,1,['Tregs']
PTGER2,1,0,1,['Mast cells']
PTGES,1,1,0,['Macrophages']
GLIPR2,1,0,1,['CD4+ T cells']
GLI1,1,0,1,['CD4+ T cells']
EPOR,1,0,1,['Macrophages']
GJB6,1,1,0,['Langerhans']
PTK2B,1,1,0,['Macrophages']
SFXN1,1,1,0,['Macrophages']
GIMAP4,1,1,0,['CD4+ T cells']
RTN1,1,0,1,['CLEC10A+ DCs']
PTK7,1,1,0,['Macrophages']
GGT1,1,1,0,['Macrophages']
PTPDC1,1,0,1,['Macrophages']
PTPN2,1,1,0,['Macrophages']
PTPN22,1,1,0,['Macrophages']
ETS1,1,1,0,['Macrophages']
ETV5,1,0,1,['Macrophages']
EVI2B,1,0,1,['CLEC10A+ DCs']
GCNT2,1,0,1,['Macrophages']
GCLM,1,0,1,['Tregs']
SCARB1,1,0,1,['Macrophages']
SCML2,1,0,1,['Macrophages']
SCN7A,1,0,1,['CD4+ T cells']
ELN,1,0,1,['Macrophages']
E2F3,1,1,0,['CD8+ T cells']
PRKN,1,0,1,['Macrophages']
ECE1,1,1,0,['Macrophages']
GRHL2,1,1,0,['CLEC10A+ DCs']
GREM1,1,1,0,['Macrophages']
EDA,1,0,1,['Macrophages']
PRNP,1,0,1,['CD8+ T cells']
EDNRB,1,1,0,['Macrophages']
GPRC5B,1,0,1,['Macrophages']
GPR85,1,1,0,['Macrophages']
SERPINA5,1,0,1,['Macrophages']
EGFL7,1,0,1,['Macrophages']
EGFL8,1,0,1,['Macrophages']
GPR34,1,0,1,['Macrophages']
SEMA4D,1,1,0,['Macrophages']
EGR3,1,0,1,['CLEC9A+ DCs']
SEMA4C,1,1,0,['Macrophages']
SELPLG,1,0,1,['CLEC10A+ DCs']
SELL,1,1,0,['CD4+ T cells']
GPR12,1,0,1,['Macrophages']
EIF4A1,1,1,0,['Langerhans']
PSD3,1,0,1,['Macrophages']
SDC4,1,1,0,['Macrophages']
ELFN1,1,0,1,['CD4+ T cells']
ELK3,1,0,1,['CD8+ T cells']
GCH1,1,1,0,['Macrophages']
