gene,sig,n_up,n_down,sig_cell_types
ADGRB2,0,0,0,
ADAMTSL3,0,0,0,
ADGRA3,0,0,0,
ADGRA1,0,0,0,
ADD1,0,0,0,
ADCYAP1R1,0,0,0,
ADCY2,0,0,0,
ADAR,0,0,0,
ADAMTS4,0,0,0,
ADA,0,0,0,
ADAMTS19,0,0,0,
ADAM9,0,0,0,
ADAM33,0,0,0,
ADAM28,0,0,0,
ADAM17,0,0,0,
ADAM10,0,0,0,
ACAT1,0,0,0,
ACAP2,0,0,0,
ACACB,0,0,0,
ABCB1,0,0,0,
ABCC3,0,0,0,
ABCC2,0,0,0,
ABCC12,0,0,0,
ABCC1,0,0,0,
ABCB6,0,0,0,
ABCB4,0,0,0,
ABCA7,0,0,0,
ACACA,0,0,0,
ABCA4,0,0,0,
ABCA3,0,0,0,
ABCA1,0,0,0,
ABAT,0,0,0,
AARSD1,0,0,0,
AAR2,0,0,0,
ABCC4,0,0,0,
ABCC6,0,0,0,
ABCC8,0,0,0,
ABCC9,0,0,0,
ABCD1,0,0,0,
ABCD3,0,0,0,
ABCD4,0,0,0,
ABCF3,0,0,0,
ABCG1,0,0,0,
ABHD11,0,0,0,
ABHD6,0,0,0,
ABL1,0,0,0,
ABL2,0,0,0,
ABO,0,0,0,
ABTB1,0,0,0,
ABTB2,0,0,0,
ACAA2,0,0,0,
ADGRB1,0,0,0,
ADGRD1,0,0,0,
AMER1,0,0,0,
AKAP4,0,0,0,
AKTIP,0,0,0,
AKT2,0,0,0,
AKT1,0,0,0,
AKR1C3,0,0,0,
AKR1B1,0,0,0,
AKAP8,0,0,0,
AKAP11,0,0,0,
ALCAM,0,0,0,
AJAP1,0,0,0,
AIRE,0,0,0,
AIP,0,0,0,
AIMP2,0,0,0,
AIFM1,0,0,0,
AIF1L,0,0,0,
ALAD,0,0,0,
ALDH1B1,0,0,0,
ADGRD2,0,0,0,
ALKBH5,0,0,0,
AMACR,0,0,0,
ALYREF,0,0,0,
ALX1,0,0,0,
ALPK3,0,0,0,
ALPK1,0,0,0,
ALOX12,0,0,0,
ALK,0,0,0,
ALDH3A2,0,0,0,
ALG9,0,0,0,
ALG6,0,0,0,
ALG2,0,0,0,
ALG11,0,0,0,
ALDOA,0,0,0,
ALDH7A1,0,0,0,
AICDA,0,0,0,
AHSG,0,0,0,
AHCY,0,0,0,
ADORA1,0,0,0,
ADRA2B,0,0,0,
ADRA2A,0,0,0,
ADRA1D,0,0,0,
ADRA1B,0,0,0,
ADRA1A,0,0,0,
ADORA2A,0,0,0,
ADNP,0,0,0,
AGXT,0,0,0,
ADIPOR2,0,0,0,
ADIPOR1,0,0,0,
ADGRL4,0,0,0,
ADGRL1,0,0,0,
ADGRG5,0,0,0,
ADGRE5,0,0,0,
ADRA2C,0,0,0,
ADRB1,0,0,0,
ADRB3,0,0,0,
ADTRP,0,0,0,
AFAP1L2,0,0,0,
AFF1,0,0,0,
AFF2,0,0,0,
AFG1L,0,0,0,
AFM,0,0,0,
AGAP3,0,0,0,
AGER,0,0,0,
AGMAT,0,0,0,
AGO1,0,0,0,
AGR3,0,0,0,
AGRP,0,0,0,
AGTR1,0,0,0,
AGTR2,0,0,0,
AURKB,0,0,0,
AURKC,0,0,0,
AVPR1A,0,0,0,
CBR1,0,0,0,
CBX5,0,0,0,
CBX3,0,0,0,
CBX1,0,0,0,
CBWD2,0,0,0,
CBSL,0,0,0,
CBS,0,0,0,
CBLN4,0,0,0,
CCAR2,0,0,0,
CBLN3,0,0,0,
CBLN1,0,0,0,
CBLIF,0,0,0,
CBLB,0,0,0,
CBL,0,0,0,
CBFB,0,0,0,
CC2D1A,0,0,0,
CCAT2,0,0,0,
CCDC7,0,0,0,
CCDC33,0,0,0,
CCDC61,0,0,0,
CCDC6,0,0,0,
CCDC57,0,0,0,
CCDC51,0,0,0,
CCDC50,0,0,0,
CCDC43,0,0,0,
CCDC27,0,0,0,
CCBE1,0,0,0,
CCDC170,0,0,0,
CCDC137,0,0,0,
CCDC124,0,0,0,
CCDC113,0,0,0,
CCDC103,0,0,0,
CCDC102B,0,0,0,
CBARP,0,0,0,
CAVIN3,0,0,0,
CAVIN2,0,0,0,
CAPN1,0,0,0,
CARM1,0,0,0,
CARF,0,0,0,
CARD9,0,0,0,
CARD8,0,0,0,
CARD14,0,0,0,
CARD10,0,0,0,
CANX,0,0,0,
CAV2,0,0,0,
CAND1,0,0,0,
CAMSAP2,0,0,0,
CAMP,0,0,0,
CAMKV,0,0,0,
CAMK2G,0,0,0,
CAMK2D,0,0,0,
CARTPT,0,0,0,
CASC8,0,0,0,
CASK,0,0,0,
CASP1,0,0,0,
CASP10,0,0,0,
CASP2,0,0,0,
CASP3,0,0,0,
CASP6,0,0,0,
CASP7,0,0,0,
CASP8,0,0,0,
CASP8AP2,0,0,0,
CASP9,0,0,0,
CASQ2,0,0,0,
CASR,0,0,0,
CASZ1,0,0,0,
CAT,0,0,0,
CATSPER2,0,0,0,
CCDC62,0,0,0,
CCDC77,0,0,0,
AVPR1B,0,0,0,
CCT5,0,0,0,
CD151,0,0,0,
CD109,0,0,0,
CD101,0,0,0,
CCT8,0,0,0,
CCT7,0,0,0,
CCT6A,0,0,0,
CCT3,0,0,0,
CD177,0,0,0,
CCT2,0,0,0,
CCRL2,0,0,0,
CCR9,0,0,0,
CCR5,0,0,0,
CCR3,0,0,0,
CCR1,0,0,0,
CD160,0,0,0,
CD180,0,0,0,
CCDC9,0,0,0,
CD2AP,0,0,0,
CD3G,0,0,0,
CD3EAP,0,0,0,
CD320,0,0,0,
CD300C,0,0,0,
CD300A,0,0,0,
CD2BP2,0,0,0,
CD28,0,0,0,
CD19,0,0,0,
CD276,0,0,0,
CD274,0,0,0,
CD248,0,0,0,
CD22,0,0,0,
CD209,0,0,0,
CD200,0,0,0,
CCNY,0,0,0,
CCNT1,0,0,0,
CCNO,0,0,0,
CCL15,0,0,0,
CCL24,0,0,0,
CCL23,0,0,0,
CCL22,0,0,0,
CCL20,0,0,0,
CCL17,0,0,0,
CCL16,0,0,0,
CCL13,0,0,0,
CCNE1,0,0,0,
CCL11,0,0,0,
CCL1,0,0,0,
CCKBR,0,0,0,
CCKAR,0,0,0,
CCK,0,0,0,
CCDC91,0,0,0,
CCL25,0,0,0,
CCL26,0,0,0,
CCL28,0,0,0,
CCL7,0,0,0,
CCL8,0,0,0,
CCN1,0,0,0,
CCN2,0,0,0,
CCN3,0,0,0,
CCN5,0,0,0,
CCNA1,0,0,0,
CCNA2,0,0,0,
CCNB1,0,0,0,
CCNB2,0,0,0,
CCNB3,0,0,0,
CCND2,0,0,0,
CCND3,0,0,0,
CCNDBP1,0,0,0,
CAMK2B,0,0,0,
CAMK2A,0,0,0,
CAMK1,0,0,0,
BCL7C,0,0,0,
BEAN1,0,0,0,
BDNF,0,0,0,
BDKRB2,0,0,0,
BDKRB1,0,0,0,
BCORL1,0,0,0,
BCOR,0,0,0,
BCL7B,0,0,0,
BEX2,0,0,0,
BCL6B,0,0,0,
BCL3,0,0,0,
BCL2L2,0,0,0,
BCL2L13,0,0,0,
BCL2L12,0,0,0,
BCL2L11,0,0,0,
BECN1,0,0,0,
BFSP1,0,0,0,
CALR3,0,0,0,
BLK,0,0,0,
BMP2K,0,0,0,
BMP2,0,0,0,
BMI1,0,0,0,
BLVRA,0,0,0,
BLOC1S2,0,0,0,
BLM,0,0,0,
BIRC7,0,0,0,
BFSP2,0,0,0,
BIRC5,0,0,0,
BIRC2,0,0,0,
BIK,0,0,0,
BID,0,0,0,
BICRAL,0,0,0,
BHMT,0,0,0,
BCL2L1,0,0,0,
BCL2,0,0,0,
BCL11B,0,0,0,
BACE1,0,0,0,
BAK1,0,0,0,
BAG6,0,0,0,
BAG3,0,0,0,
BAG2,0,0,0,
BAD,0,0,0,
BACH2,0,0,0,
BAAT,0,0,0,
BCL11A,0,0,0,
BAALC,0,0,0,
B4GAT1,0,0,0,
B3GAT1,0,0,0,
AXL,0,0,0,
AXIN1,0,0,0,
AVPR2,0,0,0,
BANK1,0,0,0,
BAP1,0,0,0,
BARD1,0,0,0,
BARHL2,0,0,0,
BARX2,0,0,0,
BAX,0,0,0,
BAZ2B,0,0,0,
BBC3,0,0,0,
BCAM,0,0,0,
BCAN,0,0,0,
BCAR1,0,0,0,
BCAR4,0,0,0,
BCAS3,0,0,0,
BCCIP,0,0,0,
BCHE,0,0,0,
BCKDK,0,0,0,
BCL10,0,0,0,
BMP5,0,0,0,
BMP6,0,0,0,
BMP7,0,0,0,
CA10,0,0,0,
CABYR,0,0,0,
CABP4,0,0,0,
CABCOCO1,0,0,0,
CA9,0,0,0,
CA4,0,0,0,
CA14,0,0,0,
C9,0,0,0,
C3AR1,0,0,0,
C8G,0,0,0,
C8B,0,0,0,
C6,0,0,0,
C5AR1,0,0,0,
C5,0,0,0,
C4B,0,0,0,
CACNA1B,0,0,0,
CACNA1D,0,0,0,
CACNA1G,0,0,0,
CACNA1H,0,0,0,
CACNA2D1,0,0,0,
CACNG3,0,0,0,
CACNG4,0,0,0,
CACNG5,0,0,0,
CACUL1,0,0,0,
CACYBP,0,0,0,
CAD,0,0,0,
CADM4,0,0,0,
CALB1,0,0,0,
CALCA,0,0,0,
CALCB,0,0,0,
CALM3,0,0,0,
CALML3,0,0,0,
C4A,0,0,0,
C1RL,0,0,0,
BMP8A,0,0,0,
BNIP3,0,0,0,
BRD4,0,0,0,
BRD3,0,0,0,
BRCA2,0,0,0,
BRCA1,0,0,0,
BRAF,0,0,0,
BOLL,0,0,0,
BNC2,0,0,0,
C1QTNF9,0,0,0,
BNC1,0,0,0,
BMPR2,0,0,0,
BMPR1B,0,0,0,
BMPR1A,0,0,0,
BMPER,0,0,0,
BMP8B,0,0,0,
BRDT,0,0,0,
BRI3BP,0,0,0,
BRINP1,0,0,0,
BRIP1,0,0,0,
BRIX1,0,0,0,
BRSK2,0,0,0,
BSDC1,0,0,0,
BTAF1,0,0,0,
BTBD9,0,0,0,
BTK,0,0,0,
BTN3A1,0,0,0,
BTNL2,0,0,0,
BTRC,0,0,0,
BUB1,0,0,0,
BUB1B,0,0,0,
C1QL3,0,0,0,
C1QTNF1,0,0,0,
ELSPBP1,0,0,0,
EMC1,0,0,0,
EMC4,0,0,0,
KCNC4,0,0,0,
KCNH4,0,0,0,
KCNH3,0,0,0,
KCNH2,0,0,0,
KCNH1,0,0,0,
KCNF1,0,0,0,
KCNE1,0,0,0,
KCNC3,0,0,0,
KCNH6,0,0,0,
KCNC1,0,0,0,
KCNB1,0,0,0,
KCNAB3,0,0,0,
KCNA4,0,0,0,
KCNA3,0,0,0,
KATNA1,0,0,0,
KCNH5,0,0,0,
KCNIP2,0,0,0,
KCNK18,0,0,0,
KCNJ9,0,0,0,
KCNK16,0,0,0,
KCNK15,0,0,0,
KCNK13,0,0,0,
KCNK12,0,0,0,
KCNK10,0,0,0,
KCNK1,0,0,0,
KCNJ8,0,0,0,
KCNJ1,0,0,0,
KCNJ6,0,0,0,
KCNJ16,0,0,0,
KCNJ13,0,0,0,
KCNJ12,0,0,0,
KCNJ11,0,0,0,
KCNJ10,0,0,0,
KAT5,0,0,0,
KAT2B,0,0,0,
JUP,0,0,0,
ITGA2,0,0,0,
ITGB1BP2,0,0,0,
ITGAV,0,0,0,
ITGAE,0,0,0,
ITGAD,0,0,0,
ITGA5,0,0,0,
ITGA2B,0,0,0,
ITGA1,0,0,0,
JRK,0,0,0,
ITCH,0,0,0,
ISOC2,0,0,0,
ISL1,0,0,0,
IRS4,0,0,0,
IRS2,0,0,0,
IRS1,0,0,0,
ITGB3,0,0,0,
ITGB5,0,0,0,
ITGB6,0,0,0,
ITIH1,0,0,0,
ITIH5,0,0,0,
ITPKA,0,0,0,
ITPR3,0,0,0,
ITPRID2,0,0,0,
IVNS1ABP,0,0,0,
JAK1,0,0,0,
JAK2,0,0,0,
JAM2,0,0,0,
JAM3,0,0,0,
JMJD4,0,0,0,
JPH1,0,0,0,
JPH2,0,0,0,
JPT2,0,0,0,
KCNK17,0,0,0,
KCNK2,0,0,0,
IRGM,0,0,0,
KIF2C,0,0,0,
KIT,0,0,0,
KISS1R,0,0,0,
KIR3DL1,0,0,0,
KIR2DL4,0,0,0,
KIR2DL1,0,0,0,
KIF5B,0,0,0,
KIF2A,0,0,0,
KLF14,0,0,0,
KIF20A,0,0,0,
KIF1A,0,0,0,
KIF11,0,0,0,
KIAA2013,0,0,0,
KIAA1191,0,0,0,
KIAA0408,0,0,0,
KITLG,0,0,0,
KLF16,0,0,0,
KCNK3,0,0,0,
KLHL8,0,0,0,
KLRC2,0,0,0,
KLRC1,0,0,0,
KLK6,0,0,0,
KLK4,0,0,0,
KLK15,0,0,0,
KLK10,0,0,0,
KLHL4,0,0,0,
KLF17,0,0,0,
KLHL24,0,0,0,
KLHL14,0,0,0,
KLHL13,0,0,0,
KLHL1,0,0,0,
KLHDC2,0,0,0,
KLF5,0,0,0,
KHSRP,0,0,0,
KHK,0,0,0,
KHDRBS1,0,0,0,
KCNQ2,0,0,0,
KCNU1,0,0,0,
KCNT2,0,0,0,
KCNT1,0,0,0,
KCNS1,0,0,0,
KCNRG,0,0,0,
KCNQ4,0,0,0,
KCNQ1,0,0,0,
KHDC3L,0,0,0,
KCNN3,0,0,0,
KCNMB1,0,0,0,
KCNMA1,0,0,0,
KCNK9,0,0,0,
KCNK6,0,0,0,
KCNK4,0,0,0,
KCNV1,0,0,0,
KCTD10,0,0,0,
KCTD11,0,0,0,
KCTD20,0,0,0,
KCTD5,0,0,0,
KCTD9,0,0,0,
KDM1A,0,0,0,
KDM3A,0,0,0,
KDM4A,0,0,0,
KDM5B,0,0,0,
KDM5D,0,0,0,
KDM6A,0,0,0,
KDM6B,0,0,0,
KDM8,0,0,0,
KDR,0,0,0,
KEAP1,0,0,0,
KEL,0,0,0,
IRGQ,0,0,0,
IRF8,0,0,0,
ICA1,0,0,0,
IGSF8,0,0,0,
IKZF2,0,0,0,
IKZF1,0,0,0,
IKBKG,0,0,0,
IKBKB,0,0,0,
IHH,0,0,0,
IGSF9B,0,0,0,
IGSF3,0,0,0,
IL10RA,0,0,0,
IGSF1,0,0,0,
IGHE,0,0,0,
IGFN1,0,0,0,
IGFBP1,0,0,0,
IGF2BP3,0,0,0,
IGF2BP1,0,0,0,
IKZF4,0,0,0,
IL10RB,0,0,0,
IL18RAP,0,0,0,
IL16,0,0,0,
IL18BP,0,0,0,
IL18,0,0,0,
IL17RB,0,0,0,
IL17F,0,0,0,
IL17B,0,0,0,
IL17A,0,0,0,
IL15RA,0,0,0,
IL11,0,0,0,
IL15,0,0,0,
IL13RA2,0,0,0,
IL12RB2,0,0,0,
IL12RB1,0,0,0,
IL12B,0,0,0,
IL12A,0,0,0,
IGF2,0,0,0,
IGF1R,0,0,0,
IGF1,0,0,0,
IDUA,0,0,0,
IFIT3,0,0,0,
IFIT2,0,0,0,
IFIT1,0,0,0,
IFIH1,0,0,0,
IFI44L,0,0,0,
IFI16,0,0,0,
IDH2,0,0,0,
IGBP1,0,0,0,
IDH1,0,0,0,
IDE,0,0,0,
ICOSLG,0,0,0,
ICOS,0,0,0,
ICAM5,0,0,0,
ICAM4,0,0,0,
IFNA1,0,0,0,
IFNA17,0,0,0,
IFNA2,0,0,0,
IFNA7,0,0,0,
IFNA8,0,0,0,
IFNAR1,0,0,0,
IFNAR2,0,0,0,
IFNB1,0,0,0,
IFNG,0,0,0,
IFNGR1,0,0,0,
IFNGR2,0,0,0,
IFNL1,0,0,0,
IFNL2,0,0,0,
IFNL3,0,0,0,
IFNW1,0,0,0,
IFRD1,0,0,0,
IFT57,0,0,0,
IL18R1,0,0,0,
IL19,0,0,0,
IRF7,0,0,0,
INPP5D,0,0,0,
INSR,0,0,0,
INSM1,0,0,0,
INSL4,0,0,0,
INSL3,0,0,0,
INSC,0,0,0,
INPPL1,0,0,0,
INO80D,0,0,0,
INVS,0,0,0,
INMT,0,0,0,
INHBB,0,0,0,
INHBA,0,0,0,
INHA,0,0,0,
ING1,0,0,0,
INCA1,0,0,0,
INSRR,0,0,0,
IPO11,0,0,0,
IL1A,0,0,0,
IRAK4,0,0,0,
IRF5,0,0,0,
IRF4,0,0,0,
IRF3,0,0,0,
IRF2BPL,0,0,0,
IRF2BP1,0,0,0,
IRF1,0,0,0,
IRAK2,0,0,0,
IPO5,0,0,0,
IRAK1,0,0,0,
IQSEC1,0,0,0,
IQGAP1,0,0,0,
IPP,0,0,0,
IPO9,0,0,0,
IPO7,0,0,0,
INA,0,0,0,
IMPG1,0,0,0,
IMPDH2,0,0,0,
IL22,0,0,0,
IL2RA,0,0,0,
IL26,0,0,0,
IL25,0,0,0,
IL23R,0,0,0,
IL23A,0,0,0,
IL22RA1,0,0,0,
IL21,0,0,0,
IMPDH1,0,0,0,
IL20,0,0,0,
IL2,0,0,0,
IL1RL2,0,0,0,
IL1RL1,0,0,0,
IL1RAP,0,0,0,
IL1F10,0,0,0,
IL3,0,0,0,
IL31,0,0,0,
IL34,0,0,0,
IL36G,0,0,0,
IL37,0,0,0,
IL3RA,0,0,0,
IL4R,0,0,0,
IL5,0,0,0,
IL5RA,0,0,0,
IL6,0,0,0,
IL6R,0,0,0,
IL7,0,0,0,
IL9,0,0,0,
ILDR2,0,0,0,
ILF3,0,0,0,
ILK,0,0,0,
IMMT,0,0,0,
KLRD1,0,0,0,
KLRF1,0,0,0,
KLRG1,0,0,0,
MAVS,0,0,0,
MC4R,0,0,0,
MC3R,0,0,0,
MC1R,0,0,0,
MBNL1,0,0,0,
MBL2,0,0,0,
MAX,0,0,0,
MAT1A,0,0,0,
MCCC1,0,0,0,
MASP2,0,0,0,
MAS1,0,0,0,
MARK2,0,0,0,
MARCO,0,0,0,
MAPT,0,0,0,
MAPRE2,0,0,0,
MCAM,0,0,0,
MCHR1,0,0,0,
MED12,0,0,0,
MCM9,0,0,0,
MECOM,0,0,0,
MDM2,0,0,0,
MDM1,0,0,0,
MDC1,0,0,0,
MCTS1,0,0,0,
MCPH1,0,0,0,
MCM7,0,0,0,
MCHR2,0,0,0,
MCM6,0,0,0,
MCM5,0,0,0,
MCM4,0,0,0,
MCM3AP,0,0,0,
MCM3,0,0,0,
MCM2,0,0,0,
MAPKAPK2,0,0,0,
MAPK9,0,0,0,
MAPK8IP3,0,0,0,
MAP2K5,0,0,0,
MAP3K7,0,0,0,
MAP3K5,0,0,0,
MAP3K20,0,0,0,
MAP3K15,0,0,0,
MAP3K14,0,0,0,
MAP3K1,0,0,0,
MAP2K4,0,0,0,
MAPK8IP2,0,0,0,
MAP2K1,0,0,0,
MAP2,0,0,0,
MAP1S,0,0,0,
MAP1LC3B,0,0,0,
MAP1LC3A,0,0,0,
MAP1B,0,0,0,
MAP3K7CL,0,0,0,
MAP4,0,0,0,
MAP4K2,0,0,0,
MAP4K3,0,0,0,
MAP4K5,0,0,0,
MAP7,0,0,0,
MAP7D1,0,0,0,
MAPK1,0,0,0,
MAPK10,0,0,0,
MAPK11,0,0,0,
MAPK12,0,0,0,
MAPK14,0,0,0,
MAPK15,0,0,0,
MAPK3,0,0,0,
MAPK7,0,0,0,
MAPK8,0,0,0,
MAPK8IP1,0,0,0,
MED1,0,0,0,
MED12L,0,0,0,
KMT2A,0,0,0,
MLF1,0,0,0,
MMADHC,0,0,0,
MMACHC,0,0,0,
MLXIPL,0,0,0,
MLXIP,0,0,0,
MLPH,0,0,0,
MLH1,0,0,0,
MLANA,0,0,0,
MMP11,0,0,0,
MKX,0,0,0,
MKRN3,0,0,0,
MKRN2,0,0,0,
MKNK1,0,0,0,
MKI67,0,0,0,
MITF,0,0,0,
MMEL1,0,0,0,
MMP13,0,0,0,
MEF2A,0,0,0,
MON2,0,0,0,
MPL,0,0,0,
MPI,0,0,0,
MPHOSPH9,0,0,0,
MPDZ,0,0,0,
MPDU1,0,0,0,
MOV10,0,0,0,
MOG,0,0,0,
MMP21,0,0,0,
MOB4,0,0,0,
MOB2,0,0,0,
MNX1,0,0,0,
MMRN2,0,0,0,
MMP9,0,0,0,
MMP8,0,0,0,
MITD1,0,0,0,
MIPOL1,0,0,0,
MINPP1,0,0,0,
MELTF,0,0,0,
METTL16,0,0,0,
METRNL,0,0,0,
MET,0,0,0,
MEST,0,0,0,
MEPCE,0,0,0,
MEN1,0,0,0,
MELK,0,0,0,
MINDY2,0,0,0,
MEIS2,0,0,0,
MEIS1,0,0,0,
MEIOB,0,0,0,
MEGF8,0,0,0,
MEGF10,0,0,0,
MEG3,0,0,0,
METTL18,0,0,0,
METTL2A,0,0,0,
METTL3,0,0,0,
MFAP5,0,0,0,
MFF,0,0,0,
MFGE8,0,0,0,
MFN2,0,0,0,
MFRP,0,0,0,
MFSD5,0,0,0,
MGAM,0,0,0,
MGMT,0,0,0,
MICA,0,0,0,
MICB,0,0,0,
MID2,0,0,0,
MIEN1,0,0,0,
MIIP,0,0,0,
MINDY1,0,0,0,
MAP1A,0,0,0,
MAOA,0,0,0,
MANEA,0,0,0,
LGALSL,0,0,0,
LIG3,0,0,0,
LIFR,0,0,0,
LIF,0,0,0,
LHCGR,0,0,0,
LGR6,0,0,0,
LGR5,0,0,0,
LGALS9,0,0,0,
LILRA2,0,0,0,
LGALS8,0,0,0,
LGALS14,0,0,0,
LGALS13,0,0,0,
LEPROTL1,0,0,0,
LEP,0,0,0,
LENG8,0,0,0,
LIG4,0,0,0,
LILRA4,0,0,0,
MAN2B1,0,0,0,
LIPC,0,0,0,
LMO2,0,0,0,
LMO1,0,0,0,
LMBR1L,0,0,0,
LIPG,0,0,0,
LIPF,0,0,0,
LIPE,0,0,0,
LIPA,0,0,0,
LILRA6,0,0,0,
LINS1,0,0,0,
LINGO2,0,0,0,
LIN28B,0,0,0,
LIN28A,0,0,0,
LIM2,0,0,0,
LILRB2,0,0,0,
LDLR,0,0,0,
LDB3,0,0,0,
LCK,0,0,0,
KPNB1,0,0,0,
LACC1,0,0,0,
KXD1,0,0,0,
KRTCAP2,0,0,0,
KRT20,0,0,0,
KRAS,0,0,0,
KPRP,0,0,0,
KPNA6,0,0,0,
LCAT,0,0,0,
KPNA3,0,0,0,
KPNA2,0,0,0,
KPNA1,0,0,0,
KNSTRN,0,0,0,
KNDC1,0,0,0,
KMT2D,0,0,0,
LACRT,0,0,0,
LAIR1,0,0,0,
LAIR2,0,0,0,
LAMA3,0,0,0,
LAMC1,0,0,0,
LAMP1,0,0,0,
LAMP2,0,0,0,
LANCL1,0,0,0,
LANCL2,0,0,0,
LAPTM4B,0,0,0,
LARP4,0,0,0,
LARP4B,0,0,0,
LASP1,0,0,0,
LAT,0,0,0,
LATS1,0,0,0,
LATS2,0,0,0,
LBX1,0,0,0,
LMX1B,0,0,0,
LONP1,0,0,0,
LONRF3,0,0,0,
MACC1,0,0,0,
MAGEA1,0,0,0,
MAFF,0,0,0,
MAFB,0,0,0,
MAEA,0,0,0,
MAD2L1,0,0,0,
MAD1L1,0,0,0,
MAB21L2,0,0,0,
LUC7L,0,0,0,
MAB21L1,0,0,0,
LZIC,0,0,0,
LYN,0,0,0,
LYAR,0,0,0,
LY96,0,0,0,
LY75,0,0,0,
MAGEA10,0,0,0,
MAGEA11,0,0,0,
MAGEA12,0,0,0,
MAGEA3,0,0,0,
MAGEA4,0,0,0,
MAGEB2,0,0,0,
MAGEC1,0,0,0,
MAGEC2,0,0,0,
MAGI1,0,0,0,
MAGI3,0,0,0,
MAK,0,0,0,
MAL,0,0,0,
MAL2,0,0,0,
MALL,0,0,0,
MALT1,0,0,0,
MAML2,0,0,0,
MAN1B1,0,0,0,
LURAP1,0,0,0,
LTK,0,0,0,
LOX,0,0,0,
LRCH1,0,0,0,
LRP6,0,0,0,
LRP5,0,0,0,
LRP2,0,0,0,
LRP1,0,0,0,
LRIF1,0,0,0,
LRG1,0,0,0,
LRBA,0,0,0,
LTBR,0,0,0,
LPXN,0,0,0,
LPL,0,0,0,
LPIN1,0,0,0,
AAMP,0,0,0,
LPAR3,0,0,0,
LPA,0,0,0,
LRPPRC,0,0,0,
LRRC20,0,0,0,
LRRC3,0,0,0,
LRRC32,0,0,0,
LRRC38,0,0,0,
LRRC3B,0,0,0,
LRRC45,0,0,0,
LRRC47,0,0,0,
LRRC59,0,0,0,
LRRTM1,0,0,0,
LRTM1,0,0,0,
LSG1,0,0,0,
LSM12,0,0,0,
LTA,0,0,0,
LTB4R,0,0,0,
LTB4R2,0,0,0,
LTBP1,0,0,0,
ICAM2,0,0,0,
IARS2,0,0,0,
EMD,0,0,0,
FMO3,0,0,0,
FOLH1,0,0,0,
FNTA,0,0,0,
FNDC5,0,0,0,
FNDC3B,0,0,0,
FNDC3A,0,0,0,
FMO5,0,0,0,
FMN2,0,0,0,
FOSL1,0,0,0,
FMC1,0,0,0,
FLYWCH1,0,0,0,
FLT4,0,0,0,
FLT3,0,0,0,
FLRT3,0,0,0,
FLOT2,0,0,0,
FOLR1,0,0,0,
FOXA1,0,0,0,
FOXP3,0,0,0,
FOXI1,0,0,0,
FOXO4,0,0,0,
FOXN1,0,0,0,
FOXM1,0,0,0,
FOXL2,0,0,0,
FOXJ2,0,0,0,
FOXJ1,0,0,0,
FOXG1,0,0,0,
FOXA2,0,0,0,
FOXF1,0,0,0,
FOXE3,0,0,0,
FOXE1,0,0,0,
FOXD2,0,0,0,
FOXC2,0,0,0,
FOXC1,0,0,0,
FLNB,0,0,0,
FLII,0,0,0,
FLI1,0,0,0,
FEZF2,0,0,0,
FGF21,0,0,0,
FGF2,0,0,0,
FGF19,0,0,0,
FGF10,0,0,0,
FGF1,0,0,0,
FFAR1,0,0,0,
FEZF1,0,0,0,
FLCN,0,0,0,
FEZ1,0,0,0,
FEV,0,0,0,
FETUB,0,0,0,
FES,0,0,0,
FERMT3,0,0,0,
FENDRR,0,0,0,
FGF23,0,0,0,
FGF4,0,0,0,
FGF7,0,0,0,
FGF9,0,0,0,
FGFBP2,0,0,0,
FGFR2,0,0,0,
FGFR4,0,0,0,
FH,0,0,0,
FHL2,0,0,0,
FHL3,0,0,0,
FHOD1,0,0,0,
FIBCD1,0,0,0,
FIBP,0,0,0,
FIP1L1,0,0,0,
FKBP11,0,0,0,
FKBP15,0,0,0,
FKTN,0,0,0,
FOXP2,0,0,0,
FOXP4,0,0,0,
FDX1,0,0,0,
GABRQ,0,0,0,
GALE,0,0,0,
GAGE1,0,0,0,
GADD45G,0,0,0,
GAD2,0,0,0,
GAD1,0,0,0,
GABRR3,0,0,0,
GABRP,0,0,0,
GALNS,0,0,0,
GABRG3,0,0,0,
GABRG2,0,0,0,
GABRG1,0,0,0,
GABRD,0,0,0,
GABRB3,0,0,0,
GABRA6,0,0,0,
GALK1,0,0,0,
GALP,0,0,0,
FOXRED1,0,0,0,
GATA6,0,0,0,
GCKR,0,0,0,
GCGR,0,0,0,
GBX2,0,0,0,
GBF1,0,0,0,
GBE1,0,0,0,
GBA,0,0,0,
GATA4,0,0,0,
GALR1,0,0,0,
GATA2,0,0,0,
GATA1,0,0,0,
GAS2L1,0,0,0,
GART,0,0,0,
GAP43,0,0,0,
GANAB,0,0,0,
GABRA5,0,0,0,
GABRA4,0,0,0,
GABRA3,0,0,0,
FSIP1,0,0,0,
FUCA1,0,0,0,
FUBP3,0,0,0,
FTO,0,0,0,
FSTL3,0,0,0,
FSTL1,0,0,0,
FST,0,0,0,
FSHR,0,0,0,
GABRA2,0,0,0,
FRZB,0,0,0,
FRMD7,0,0,0,
FREM2,0,0,0,
FREM1,0,0,0,
FRAS1,0,0,0,
FRA10AC1,0,0,0,
FUS,0,0,0,
FUT2,0,0,0,
FUT3,0,0,0,
FUT4,0,0,0,
FUT8,0,0,0,
FXR2,0,0,0,
FZD1,0,0,0,
FZD10,0,0,0,
